method,weights,val_acc,accuracy,precision,recall,f1,auc,kappa,time_s
Equal,[0.3333, 0.3333, 0.3333],71.62,75.25,76.93,79.16,77.24,97.11,72.53,0.0
Grid,[0.45, 0.05, 0.5],72.94,73.27,73.61,76.32,74.16,96.76,70.37,0.0
Random,[0.4264, 0.0558, 0.5178],73.27,72.61,72.9,77.23,74.1,96.74,69.68,0.02
PSO,[0.4302, 0.0555, 0.5143],73.27,73.27,73.62,77.62,74.74,96.75,70.39,0.06
